x_Molar_Fraction,Density_g/cm³,Molar_Volume_cm³/mol,"Longitudinal_Velocity_vL,_m/s","Shear_Velocity_vS,_m/s","Longitudinal_Modulus_L,_GPa","Shear_Modulus_G,_GPa","Young's_Modulus_E,_GPa","Bulk_Modulus_B,_GPa",Poisson's_Ratio_σ,"Hardness_H,_GPa","Softening_Temperature_TS,_K","Debye_Temperature_ѲD,_K"
0.024981605,3.18990441,45.31038236,8034.689131,4733.591601,206.6118913,58.44643887,140.7590103,110.8619909,0.246687649,9.419025606,2494.119909,175.3096199
0.048028572,3.149582975,45.4716681,7430.999426,4338.059731,200.5749943,52.23573678,114.7467772,106.0467555,0.296195791,8.194375102,2445.967555,175.2614676
0.039279758,2.994392373,46.09243051,7610.42615,4558.150249,202.3692615,53.40514991,107.733107,103.0369487,0.259706378,8.694762427,2415.869487,175.2313695
0.033946339,3.421194003,44.38522399,7960.852681,4589.983684,205.8735268,55.55987596,130.1204001,103.4516633,0.261888054,8.984962871,2420.016633,175.2355166
0.016240746,3.291857919,44.90256832,7760.328278,4560.245881,203.8682828,55.53410081,119.4653398,103.7225665,0.258253453,9.011249136,2422.725665,175.2382257
0.016239781,3.677043982,43.36182407,8044.176568,4754.159034,206.7067657,57.18517847,129.0541664,109.1546611,0.296925289,9.011977528,2477.046611,175.2925466
0.012323344,2.851788485,46.66284606,8290.568784,4930.956183,209.1706878,58.17049446,114.2677445,108.8460748,0.305670826,9.183534815,2473.960748,175.2894607
0.044647046,3.457429248,44.24028301,7355.782219,4282.603573,199.8228222,59.97258344,136.6745426,109.8375247,0.291576759,9.514521472,2483.875247,175.2993752
0.0340446,3.57531939,43.76872244,8012.078592,4731.994967,206.3857859,63.16499946,134.1706888,110.1927402,0.295885405,9.907372491,2487.427402,175.3029274
0.038322903,3.571891703,43.78243319,7481.721877,4332.635542,201.0822188,57.10266751,119.944944,110.8572244,0.283091529,9.071194806,2494.072244,175.3095722
0.01082338,3.697213227,43.28114709,7685.501394,4481.141358,203.1200139,71.05191025,176.7735537,123.8621147,0.277312819,11.03474379,2624.121147,175.4396211
0.048796394,3.541743405,43.90302638,7263.169179,4335.159173,198.8966918,61.82611566,133.5109239,108.2325017,0.289459414,9.962724731,2467.825017,175.283325
0.043297706,3.738531961,43.11587216,7377.2087,4415.238959,200.037087,67.33697673,155.3344885,116.0108613,0.246253061,10.5244525,2545.608613,175.3611086
0.018493564,3.149330034,45.47267986,7580.697526,4484.471696,202.0719753,71.0618759,161.7820619,121.4831968,0.247868233,11.23293542,2600.331968,175.415832
0.017272999,3.318177323,44.79729071,7605.275691,4420.418624,202.3177569,54.21000358,106.3915843,103.7533898,0.28729823,8.811531147,2423.033898,175.2385339
0.01733618,2.833938867,46.73424453,8222.370959,4889.036027,208.4887096,61.93494729,145.4701114,110.9129057,0.265109408,9.956846446,2494.629057,175.3101291
0.02216969,2.826888011,46.76244795,8047.764347,4593.470843,206.7426435,61.53759787,128.8533006,113.7259168,0.274796564,9.87777258,2522.759168,175.3382592
0.030990257,3.057725354,45.83909858,8302.714891,4758.139588,209.2921489,60.48374572,143.9128308,106.0287808,0.293265532,9.647369905,2445.787808,175.2612878
